Orthogroup	Duplications (all)	Duplications (50% support)
OG0001045	10	10
OG0001046	10	10
OG0001047	10	10
OG0001048	8	7
OG0001049	10	10
OG0001050	7	7
OG0001051	10	10
OG0001052	10	10
OG0001053	4	4
OG0001054	10	10
OG0001055	11	11
OG0001056	10	10
OG0001057	7	6
OG0001058	6	6
OG0001059	6	5
OG0001060	6	6
OG0001061	10	10
OG0001062	6	5
OG0001063	10	10
OG0001064	10	10
OG0001065	7	7
OG0001066	8	5
OG0001067	8	8
OG0001068	8	8
OG0001069	10	10
OG0001070	10	10
OG0001071	10	10
OG0001072	8	8
OG0001073	10	10
OG0001074	9	8
OG0001075	11	11
OG0001076	11	11
OG0001077	6	6
OG0001078	10	10
OG0001079	7	7
OG0001080	10	10
OG0001081	10	10
OG0001082	10	10
OG0001083	5	5
OG0001084	10	10
OG0001085	7	7
OG0001086	9	9
OG0001087	9	9
OG0001088	10	10
OG0001089	10	10
OG0001090	9	9
OG0001091	10	10
OG0001092	10	10
OG0001093	10	10
OG0001094	10	10
OG0001095	12	12
OG0001096	11	11
OG0001097	13	13
OG0001098	7	7
OG0001099	11	11
OG0001100	14	14
OG0001101	16	16
OG0001102	12	12
OG0001103	10	10
OG0001104	12	12
OG0001105	13	13
OG0001106	11	11
OG0001107	12	12
OG0001108	12	12
OG0001109	11	11
OG0001110	15	15
OG0001111	16	16
OG0001112	15	15
OG0001113	15	15
OG0001114	15	15
OG0001115	15	15
OG0001116	12	12
OG0001117	16	16
OG0001118	16	16
OG0001119	16	16
OG0001120	16	16
OG0001121	15	15
OG0001122	15	15
OG0001123	15	15
OG0001124	16	16
OG0001125	16	16
OG0001126	16	16
OG0001127	16	16
OG0001128	16	16
OG0001129	9	9
OG0001130	10	10
OG0001131	10	8
OG0001132	8	8
OG0001133	9	9
OG0001134	14	14
OG0001135	10	10
OG0001136	10	10
OG0001137	9	9
OG0001138	5	4
OG0001139	6	6
OG0001140	3	3
OG0001141	9	9
OG0001142	9	8
OG0001143	9	9
OG0001144	9	9
OG0001145	9	9
OG0001146	5	5
OG0001147	9	9
OG0001148	13	13
OG0001149	5	5
OG0001150	9	9
OG0001151	9	9
OG0001152	9	9
OG0001153	9	9
OG0001154	9	9
OG0001155	9	9
OG0001156	11	11
OG0001157	9	9
OG0001158	9	9
OG0001159	9	9
OG0001160	8	7
OG0001161	4	3
OG0001162	10	10
OG0001163	9	9
OG0001164	9	9
OG0001165	13	13
OG0001166	9	9
OG0001167	7	6
OG0001168	9	9
OG0001169	9	9
OG0001170	6	6
OG0001171	9	9
OG0001172	7	5
OG0001173	10	10
OG0001174	10	10
OG0001175	9	9
OG0001176	9	9
OG0001177	10	10
OG0001178	9	9
OG0001179	9	9
OG0001180	9	9
OG0001181	9	9
OG0001182	9	9
OG0001183	8	8
OG0001184	4	4
OG0001185	9	9
OG0001186	10	10
OG0001187	7	6
OG0001188	9	9
OG0001189	7	6
OG0001190	9	9
OG0001191	8	8
OG0001192	9	9
OG0001193	8	8
OG0001194	9	9
OG0001195	9	9
OG0001196	6	6
OG0001197	6	5
OG0001198	9	9
OG0001199	6	6
OG0001200	13	13
OG0001201	4	4
OG0001202	9	9
OG0001203	6	6
OG0001204	7	7
OG0001205	6	6
OG0001206	9	9
OG0001207	9	9
OG0001208	6	6
OG0001209	9	9
OG0001210	5	5
OG0001211	8	8
OG0001212	9	9
OG0001213	9	8
OG0001214	7	7
OG0001215	9	9
OG0001216	9	9
OG0001217	9	9
OG0001218	9	9
OG0001219	8	7
OG0001220	9	9
OG0001221	9	9
OG0001222	9	9
OG0001223	13	13
OG0001224	9	9
OG0001225	8	8
OG0001226	9	9
OG0001227	7	7
OG0001228	7	7
OG0001229	9	9
OG0001230	8	8
OG0001231	9	8
OG0001232	6	6
OG0001233	9	9
OG0001234	5	5
OG0001235	9	9
OG0001236	9	9
OG0001237	7	5
OG0001238	9	9
OG0001239	8	7
OG0001240	9	9
OG0001241	9	9
OG0001242	9	9
OG0001243	9	9
OG0001244	9	9
OG0001245	9	9
OG0001246	10	10
OG0001247	9	9
OG0001248	9	9
OG0001249	3	3
OG0001250	10	10
OG0001251	10	10
OG0001252	9	9
OG0001253	10	10
OG0001254	7	5
OG0001255	5	5
OG0001256	9	8
OG0001257	9	9
OG0001258	9	9
OG0001259	9	9
OG0001260	9	8
OG0001261	9	9
OG0001262	7	7
OG0001263	6	5
OG0001264	15	15
OG0001265	8	5
OG0001266	8	8
OG0001267	10	10
OG0001268	13	13
OG0001269	14	14
OG0001270	13	13
OG0001271	10	10
OG0001272	9	9
OG0001273	10	10
OG0001274	10	10
OG0001275	10	10
OG0001276	11	11
OG0001277	10	10
OG0001278	9	7
OG0001279	11	10
OG0001280	9	9
OG0001281	11	11
OG0001282	13	13
OG0001283	15	15
OG0001284	14	14
OG0001285	15	15
OG0001286	15	15
OG0001287	14	14
OG0001288	15	15
OG0001289	15	15
OG0001290	15	15
